*** COMPREHENSIVE AEROLOGICAL REFERENCE DATASET (CARDS) STATION HISTORY *** 

NUMBER = STATION NUMBER (1ST 5 DIGITS IS WMO NUMBER)
NAME = STATION NAME 
COUNTRY = FIPS COUNTRY CODE 
LATITUDE = LATITUDE IN DEGREES & HUNDREDTHS (SOUTH = NEGATIVE)  
LONGITUDE = LONGITUDE IN DEGREES & HUNDREDTHS (WEST = NEGATIVE) 
ELEV = ELEVATION IN METERS (UNKNOWN = 9999.9)   
BEGINS = BEGINNING YEAR-MONTH FOR DIGITAL DATA  
ENDS = ENDING YEAR-MONTH FOR DIGITAL DATA (999912 = STATION STILL ACTIVE)   

NUMBER NAME                            COUNTRY    LATITUDE  LONGITUDE   ELEV    BEGINS ENDS 
102380 BERGEN/HOHNE                         GM    52.81700    9.93300   68.0    196801 999912   
103040 MEPPEN                               GM    52.71700    7.31700   19.0    197506 999912   
103040 MEPPEN                               GM    52.71700    7.31700   19.0    197106 197312   
103070 RHEINE/WALDHUEGEL                    GM    52.26700    7.43300   78.0    197004 198508   
103380 HANNOVER                             GM    52.46700    9.70000   55.0    195507 999912   
103840 BERLIN/TEMPLEHOFF                    GM    52.48300   13.40000   46.0    194605 999912   
103930 LINDENBERG                           GM    52.21700   14.11700  115.0    199111 999912   
103930 LINDENBERG TO 093930                 GM    52.21700   14.11700  110.0    195001 197508   
104040 GOCH                                 GM    51.68300    6.16700   19.0    197106 197806   
104100 ESSEN                                GM    51.40000    6.96700  152.0    197510 999912   
104100 ESSEN                                GM    51.40000    6.96700  161.0    196507 197510   
104370 FRITZLAR                             GM    51.13300    9.28300  222.0    198002 999912   
104540 WERNIGERODE                          GM    51.85000   10.76700  234.0    195001 196412   
104860 WAHNSDORF                            GM    51.11700   13.68300  246.0    199111 999912   
104860 WAHNSDORF TO 094860                  GM    51.11700   13.68300  249.0    195001 197506   
105130 KOLN/BONN                            GM    50.86700    7.13300   91.0    195805 196507   
105480 MEININGEN                            GM    50.56700   10.36700  450.0    199111 999912   
105480 MEININGEN TO 095480                  GM    50.56700   10.36700  450.0    196910 197508   
106100 BITBURG                              GM    49.95000    6.56700  374.0    195405 195908   
106180 IDAR/OBERSTEIN                       GM    49.70000    7.33300  376.0    196801 999912   
106190 BAUMHOLDER AAF                       GM    49.63300    7.30000  426.0    198106 198903   
106330 WEISBADEN AB                         GM    50.05000    8.33300  139.0    194605 195707   
106390 DARMSTADT (USA-AF)                   GM    49.86700    8.65000  188.0    197306 197508   
106390 DARMSTADT                            GM    49.86700    8.65000  188.0    197208 197210   
106420 HANAU (USAF)                         GM    50.16700    8.95000  112.0    197902 198304   
106420 HANAU (USAF)                         GM    50.16700    8.95000  112.0    196910 197105   
106570 WERTHEIM AAF                         GM    49.76700    9.48300  338.0    197109 197308   
106590 KITZINGEN (USA-AF)                   GM    49.75000   10.20000  212.0    198203 198408   
106590 KITZINGEN AAF                        GM    49.75000   10.20000  212.0    197110 197212   
106870 GRAFENWOHR (USA-AF)                  GM    49.10000   11.13300  410.0    198107 999912   
106870 GRAFENWOHR (USA-AF)                  GM    49.70000   11.95000  414.0    196710 197206   
107390 STUTTGART/CANNSTATT                  GM    48.83300    9.20000  315.0    195703 999912   
107640 FEUCHT (USA-AF)                      GM    49.38300   11.16700  386.0    198810 999912   
107640 FEUCHT AAF                           GM    49.38300   11.16700  310.0    197903 198810   
107710 GARMERSDORF                          GM    49.43300   11.90000  419.0    196801 999912   
108620 SIEGENBURG(MIL/MET)                  GM    48.75000   11.80000  397.0    199011 999912   
108620 SIEGENBURG                           GM    48.75000   11.80000  404.0    197602 198612   
108640 NEUBIBERG                            GM    48.06700   11.65000  555.0    194606 194709   
108660 MUNICH/MUNCHEN/RIEM TO 108680        GM    48.13300   11.71700  529.0    197101 197607   
108660 MUNICH/MUNCHEN/RIEM                  GM    48.13300   11.70000  526.0    194709 195406   
108680 MUNCHEN                              GM    48.25000   11.58300  484.0    197607 999912   
109210 NEUHAUSEN OB ECK                     GM    47.98300    8.90000  807.0    197505 999912   
109210 NEUHAUSEN OB ECK                     GM    47.98300    8.90000  807.0    197102 197212   
109540 ALTENSTADT/SCHONGAU                  GM    47.83300   10.86700  740.0    197706 199102   
109620 HOHENPEISSENBERG                     GM    47.80000   11.01700  977.0    198910 999912   
110110 HORSCHING (AUS-AFB)                  AU    48.23300   14.18300  298.0    198909 999912   
110300 VIENNA/TULLN                         AU    48.31700   16.13300  176.0    194908 195509   
110350 WIEN/HOHE WARTE                      AU    48.25000   16.36700  200.0    198301 999912   
110350 WIEN/HOHE WARTE                      AU    48.25000   16.36700  203.0    195112 198301   
112390 GRAZ-THALERHOF ARPT                  AU    47.00000   15.43300  340.0    198909 999912   
115180 PRAGUE/RUZYNE                        EZ    50.10000   14.28300  380.0    195309 196705   
115200 PRAGUE/LIBUS                         EZ    50.00000   14.45000  303.0    196910 999912   
115670 PRAGUE TO 115180                     EZ    50.11700   14.53300  289.0    194905 195309   
119340 POPRAD/TATRY TO 119520               LO    49.06700   20.25000  703.0    195203 197801   
119520 POPRAD/GANOVCE                       LO    49.03300   20.31667  701.0    197804 999912   
121050 KOSZALIN                             PL    54.20000   16.18300   33.0    196508 197105   
121200 LEBA                                 PL    54.75000   17.53300    2.0    197209 999912   
121500 GDANSK/REBIECHOWO                    PL    54.38300   18.46700  138.0    197301 197312   
123300 POZNAN/LAWICA                        PL    52.41700   16.83300   92.0    195805 999912   
123740 LEGIONOWO                            PL    52.40000   20.96700   94.0    198301 999912   
123740 LEGIONOWO                            PL    52.40000   20.96700   99.0    198103 198301   
123740 LEGIONOWO                            PL    52.40000   20.96700  104.0    195704 198103   
123750 WARSZAWA  TO 123740                  PL    52.41700   20.96700  103.0    194902 195612   
124250 WROCLAW/MALY GADOW                   PL    51.13300   16.98300  116.0    198301 999912   
124250 WROCLAW/MALY GADOW                   PL    51.13300   16.98300  119.0    195611 198301   
124650 LODZ-LUBLINEK                        PL    51.73300   19.40000  187.0    197301 197409   
125770 MIELEC                               PL    50.30000   21.45000   17.0    195704 196607   
125800 RZESZOW/JASIONKA                     PL    50.10000   22.05000  202.0    197301 197501   
127720 MISKOLC                              HU    48.13300   20.80000  119.0    197306 198505   
128120 SZOMBATHELY                          HU    47.26700   16.63300  220.0    198203 198204   
128120 SZOMBATHELY                          HU    47.26700   16.63300  224.0    197303 197407   
128400 BUDAPEST                             HU    47.51700   19.03300  130.0    194904 195312   
128430 BUDAPEST-LORINC                      HU    47.43300   19.18300  140.0    195805 999912   
129420 PECS                                 HU    46.00000   18.23300  202.0    198203 198204   
129420 PECS                                 HU    46.00000   18.23300  201.0    197301 197506   
129820 SZEGED                               HU    46.25000   20.10000   84.0    196504 999912   
130170 LJUBLJANA/BEZIGRAD                   SI    46.06700   14.51700  299.0    195601 196010   
131300 ZAGREB-MAKSIMIR                      HR    45.81700   16.03300  131.0    195506 999912   
131500 SLAVONSKI BROD                       BK    45.15000   18.01700   96.0    197304 197511   
132090 PULA                                 HR    44.86700   13.85000   32.0    198203 198204   
132750 BELGRADE/ZELENO                      SR    44.78300   20.53300  243.0    197107 999912   
132760 BELGRADE/ZELENO TO 132750            SR    44.78300   20.53300  243.0    195501 197107   
133340 SPLIT/MARJAN                         HR    43.51700   16.43300  122.0    198203 999912   
